Hex,Binary,Condition,Opcode,Rn,Rd,Operand
e92d4800,11101001001011010100100000000000,1110,100100,1011,0101,00100000000000
e28db004,11100010100011011011000000000100,1110,001010,0011,0110,11000000000100
e24dd038,11100010010011011101000000111000,1110,001001,0011,0111,01000000111000
e59f3104,11100101100111110011000100000100,1110,010110,0111,1100,11000100000100
e24bc038,11100010010010111100000000111000,1110,001001,0010,1111,00000000111000
e1a0e003,11100001101000001110000000000011,1110,000110,1000,0011,10000000000011
e8be000f,11101000101111100000000000001111,1110,100010,1111,1000,00000000001111
e8ac000f,11101000101011000000000000001111,1110,100010,1011,0000,00000000001111
e8be000f,11101000101111100000000000001111,1110,100010,1111,1000,00000000001111
e8ac000f,11101000101011000000000000001111,1110,100010,1011,0000,00000000001111
e89e0003,11101000100111100000000000000011,1110,100010,0111,1000,00000000000011
e88c0003,11101000100011000000000000000011,1110,100010,0011,0000,00000000000011
e3a03000,11100011101000000011000000000000,1110,001110,1000,0000,11000000000000
e50b3008,11100101000010110011000000001000,1110,010100,0010,1100,11000000001000
ea00002e,11101010000000000000000000101110,1110,101000,0000,0000,00000000101110
e51b3008,11100101000110110011000000001000,1110,010100,0110,1100,11000000001000
e2833001,11100010100000110011000000000001,1110,001010,0000,1100,11000000000001
e50b300c,11100101000010110011000000001100,1110,010100,0010,1100,11000000001100
ea000024,11101010000000000000000000100100,1110,101000,0000,0000,00000000100100
e51b300c,11100101000110110011000000001100,1110,010100,0110,1100,11000000001100
e1a03103,11100001101000000011000100000011,1110,000110,1000,0000,11000100000011
e2433004,11100010010000110011000000000100,1110,001001,0000,1100,11000000000100
e083300b,11100000100000110011000000001011,1110,000010,0000,1100,11000000001011
e5132034,11100101000100110010000000110100,1110,010100,0100,1100,10000000110100
e51b3008,11100101000110110011000000001000,1110,010100,0110,1100,11000000001000
e1a03103,11100001101000000011000100000011,1110,000110,1000,0000,11000100000011
e2433004,11100010010000110011000000000100,1110,001001,0000,1100,11000000000100
